season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2019,Liverpool,Norwich,H,4,1,4,0
2019,West Ham,Manchester City,A,0,5,0,1
2019,Bournemouth,Sheffield United,D,1,1,0,0
2019,Burnley,Southampton,H,3,0,0,0
2019,Crystal Palace,Everton,D,0,0,0,0
2019,Watford,Brighton,A,0,3,0,1
2019,Tottenham,Aston Villa,H,3,1,0,1
2019,Leicester,Wolves,D,0,0,0,0
2019,Newcastle United,Arsenal,A,0,1,0,0
2019,Manchester United,Chelsea,H,4,0,1,0
2019,Arsenal,Burnley,H,2,1,1,1
2019,Aston Villa,Bournemouth,A,1,2,0,2
2019,Brighton,West Ham,D,1,1,0,0
2019,Everton,Watford,H,1,0,1,0
2019,Norwich,Newcastle United,H,3,1,1,0
2019,Southampton,Liverpool,A,1,2,0,1
2019,Manchester City,Tottenham,D,2,2,2,1
2019,Sheffield United,Crystal Palace,H,1,0,0,0
2019,Chelsea,Leicester,D,1,1,1,0
2019,Wolves,Manchester United,D,1,1,0,1
2019,Aston Villa,Everton,H,2,0,1,0
2019,Norwich,Chelsea,A,2,3,2,2
2019,Brighton,Southampton,A,0,2,0,0
2019,Manchester United,Crystal Palace,A,1,2,0,1
2019,Sheffield United,Leicester,A,1,2,0,1
2019,Watford,West Ham,A,1,3,1,1
2019,Liverpool,Arsenal,H,3,1,1,0
2019,Bournemouth,Manchester City,A,1,3,1,2
2019,Tottenham,Newcastle United,A,0,1,0,1
2019,Wolves,Burnley,D,1,1,0,1
2019,Southampton,Manchester United,D,1,1,0,1
2019,Chelsea,Sheffield United,D,2,2,2,0
2019,Crystal Palace,Aston Villa,H,1,0,0,0
2019,Leicester,Bournemouth,H,3,1,2,1
2019,Manchester City,Brighton,H,4,0,2,0
2019,Newcastle United,Watford,D,1,1,1,1
2019,West Ham,Norwich,H,2,0,1,0
2019,Burnley,Liverpool,A,0,3,0,2
2019,Everton,Wolves,H,3,2,2,1
2019,Arsenal,Tottenham,D,2,2,1,2
2019,Liverpool,Newcastle United,H,3,1,2,1
2019,Brighton,Burnley,D,1,1,0,0
2019,Manchester United,Leicester,H,1,0,1,0
2019,Sheffield United,Southampton,A,0,1,0,0
2019,Tottenham,Crystal Palace,H,4,0,4,0
2019,Wolves,Chelsea,A,2,5,0,3
2019,Norwich,Manchester City,H,3,2,2,1
2019,Bournemouth,Everton,H,3,1,1,1
2019,Watford,Arsenal,D,2,2,0,2
2019,Aston Villa,West Ham,D,0,0,0,0
2019,Southampton,Bournemouth,A,1,3,0,2
2019,Leicester,Tottenham,H,2,1,0,1
2019,Burnley,Norwich,H,2,0,2,0
2019,Everton,Sheffield United,A,0,2,0,1
2019,Manchester City,Watford,H,8,0,5,0
2019,Newcastle United,Brighton,D,0,0,0,0
2019,Crystal Palace,Wolves,D,1,1,0,0
2019,West Ham,Manchester United,H,2,0,1,0
2019,Arsenal,Aston Villa,H,3,2,0,1
2019,Chelsea,Liverpool,A,1,2,0,2
2019,Sheffield United,Liverpool,A,0,1,0,0
2019,Aston Villa,Burnley,D,2,2,1,0
2019,Bournemouth,West Ham,D,2,2,1,1
2019,Chelsea,Brighton,H,2,0,0,0
2019,Crystal Palace,Norwich,H,2,0,1,0
2019,Tottenham,Southampton,H,2,1,2,1
2019,Wolves,Watford,H,2,0,1,0
2019,Everton,Manchester City,A,1,3,1,1
2019,Leicester,Newcastle United,H,5,0,1,0
2019,Manchester United,Arsenal,D,1,1,1,0
2019,Brighton,Tottenham,H,3,0,2,0
2019,Burnley,Everton,H,1,0,0,0
2019,Liverpool,Leicester,H,2,1,1,0
2019,Norwich,Aston Villa,A,1,5,0,2
2019,Watford,Sheffield United,D,0,0,0,0
2019,West Ham,Crystal Palace,A,1,2,0,0
2019,Arsenal,Bournemouth,H,1,0,1,0
2019,Manchester City,Wolves,A,0,2,0,0
2019,Southampton,Chelsea,A,1,4,1,3
2019,Newcastle United,Manchester United,H,1,0,0,0
2019,Everton,West Ham,H,2,0,1,0
2019,Aston Villa,Brighton,H,2,1,1,1
2019,Bournemouth,Norwich,D,0,0,0,0
2019,Chelsea,Newcastle United,H,1,0,0,0
2019,Leicester,Burnley,H,2,1,1,1
2019,Tottenham,Watford,D,1,1,0,1
2019,Wolves,Southampton,D,1,1,0,0
2019,Crystal Palace,Manchester City,A,0,2,0,2
2019,Manchester United,Liverpool,D,1,1,1,0
2019,Sheffield United,Arsenal,H,1,0,1,0
2019,Southampton,Leicester,A,0,9,0,5
2019,Manchester City,Aston Villa,H,3,0,0,0
2019,Brighton,Everton,H,3,2,1,1
2019,Watford,Bournemouth,D,0,0,0,0
2019,West Ham,Sheffield United,D,1,1,1,0
2019,Burnley,Chelsea,A,2,4,0,2
2019,Newcastle United,Wolves,D,1,1,1,0
2019,Arsenal,Crystal Palace,D,2,2,2,1
2019,Liverpool,Tottenham,H,2,1,0,1
2019,Norwich,Manchester United,A,1,3,0,2
2019,Bournemouth,Manchester United,H,1,0,1,0
2019,Arsenal,Wolves,D,1,1,1,0
2019,Aston Villa,Liverpool,A,1,2,1,0
2019,Brighton,Norwich,H,2,0,0,0
2019,Manchester City,Southampton,H,2,1,0,1
2019,Sheffield United,Burnley,H,3,0,3,0
2019,West Ham,Newcastle United,A,2,3,0,2
2019,Watford,Chelsea,A,1,2,0,1
2019,Crystal Palace,Leicester,A,0,2,0,0
2019,Everton,Tottenham,D,1,1,0,0
2019,Norwich,Watford,A,0,2,0,1
2019,Chelsea,Crystal Palace,H,2,0,0,0
2019,Burnley,West Ham,H,3,0,2,0
2019,Newcastle United,Bournemouth,H,2,1,1,1
2019,Southampton,Everton,A,1,2,0,1
2019,Tottenham,Sheffield United,D,1,1,0,0
2019,Leicester,Arsenal,H,2,0,0,0
2019,Manchester United,Brighton,H,3,1,2,0
2019,Wolves,Aston Villa,H,2,1,1,0
2019,Liverpool,Manchester City,H,3,1,2,0
2019,West Ham,Tottenham,A,2,3,0,2
2019,Arsenal,Southampton,D,2,2,1,1
2019,Bournemouth,Wolves,A,1,2,0,2
2019,Brighton,Leicester,A,0,2,0,0
2019,Crystal Palace,Liverpool,A,1,2,0,0
2019,Everton,Norwich,A,0,2,0,0
2019,Watford,Burnley,A,0,3,0,0
2019,Manchester City,Chelsea,H,2,1,2,1
2019,Sheffield United,Manchester United,D,3,3,1,0
2019,Aston Villa,Newcastle United,H,2,0,2,0
2019,Newcastle United,Manchester City,D,2,2,1,1
2019,Burnley,Crystal Palace,A,0,2,0,1
2019,Chelsea,West Ham,A,0,1,0,0
2019,Liverpool,Brighton,H,2,1,2,0
2019,Tottenham,Bournemouth,H,3,2,1,0
2019,Southampton,Watford,H,2,1,0,1
2019,Norwich,Arsenal,D,2,2,2,1
2019,Wolves,Sheffield United,D,1,1,0,1
2019,Leicester,Everton,H,2,1,0,1
2019,Manchester United,Aston Villa,D,2,2,1,1
2019,Crystal Palace,Bournemouth,H,1,0,0,0
2019,Burnley,Manchester City,A,1,4,0,1
2019,Chelsea,Aston Villa,H,2,1,1,1
2019,Leicester,Watford,H,2,0,0,0
2019,Manchester United,Tottenham,H,2,1,1,1
2019,Southampton,Norwich,H,2,1,2,0
2019,Wolves,West Ham,H,2,0,1,0
2019,Liverpool,Everton,H,5,2,4,2
2019,Sheffield United,Newcastle United,A,0,2,0,1
2019,Arsenal,Brighton,A,1,2,0,1
2019,Everton,Chelsea,H,3,1,1,0
2019,Bournemouth,Liverpool,A,0,3,0,2
2019,Tottenham,Burnley,H,5,0,3,0
2019,Watford,Crystal Palace,D,0,0,0,0
2019,Manchester City,Manchester United,A,1,2,0,2
2019,Aston Villa,Leicester,A,1,4,1,2
2019,Newcastle United,Southampton,H,2,1,0,0
2019,Norwich,Sheffield United,A,1,2,1,0
2019,Brighton,Wolves,D,2,2,2,2
2019,West Ham,Arsenal,A,1,3,1,0
2019,Liverpool,Watford,H,2,0,1,0
2019,Burnley,Newcastle United,H,1,0,0,0
2019,Chelsea,Bournemouth,A,0,1,0,0
2019,Leicester,Norwich,D,1,1,1,1
2019,Sheffield United,Aston Villa,H,2,0,0,0
2019,Southampton,West Ham,A,0,1,0,1
2019,Manchester United,Everton,D,1,1,0,1
2019,Wolves,Tottenham,A,1,2,0,1
2019,Arsenal,Manchester City,A,0,3,0,3
2019,Crystal Palace,Brighton,D,1,1,0,0
2019,Everton,Arsenal,D,0,0,0,0
2019,Aston Villa,Southampton,A,1,3,0,2
2019,Bournemouth,Burnley,A,0,1,0,0
2019,Brighton,Sheffield United,A,0,1,0,1
2019,Newcastle United,Crystal Palace,H,1,0,0,0
2019,Norwich,Wolves,A,1,2,1,0
2019,Manchester City,Leicester,H,3,1,2,1
2019,Watford,Manchester United,H,2,0,0,0
2019,Tottenham,Chelsea,A,0,2,0,2
2019,Tottenham,Brighton,H,2,1,0,1
2019,Aston Villa,Norwich,H,1,0,0,0
2019,Bournemouth,Arsenal,D,1,1,1,0
2019,Chelsea,Southampton,A,0,2,0,1
2019,Crystal Palace,West Ham,H,2,1,0,0
2019,Everton,Burnley,H,1,0,0,0
2019,Sheffield United,Watford,D,1,1,1,1
2019,Manchester United,Newcastle United,H,4,1,3,1
2019,Leicester,Liverpool,A,0,4,0,1
2019,Wolves,Manchester City,H,3,2,0,1
2019,Brighton,Bournemouth,H,2,0,1,0
2019,Newcastle United,Everton,A,1,2,0,1
2019,Southampton,Crystal Palace,D,1,1,0,0
2019,Watford,Aston Villa,H,3,0,1,0
2019,Norwich,Tottenham,D,2,2,1,0
2019,West Ham,Leicester,A,1,2,1,1
2019,Burnley,Manchester United,A,0,2,0,1
2019,Arsenal,Chelsea,A,1,2,1,0
2019,Liverpool,Wolves,H,1,0,1,0
2019,Manchester City,Sheffield United,H,2,0,0,0
2019,Brighton,Chelsea,D,1,1,0,1
2019,Burnley,Aston Villa,A,1,2,0,2
2019,Newcastle United,Leicester,A,0,3,0,2
2019,Southampton,Tottenham,H,1,0,1,0
2019,Watford,Wolves,H,2,1,1,0
2019,Manchester City,Everton,H,2,1,0,0
2019,Norwich,Crystal Palace,D,1,1,1,0
2019,West Ham,Bournemouth,H,4,0,3,0
2019,Arsenal,Manchester United,H,2,0,2,0
2019,Liverpool,Sheffield United,H,2,0,1,0
2019,Sheffield United,West Ham,H,1,0,0,0
2019,Crystal Palace,Arsenal,D,1,1,0,1
2019,Chelsea,Burnley,H,3,0,2,0
2019,Everton,Brighton,H,1,0,1,0
2019,Leicester,Southampton,A,1,2,1,1
2019,Manchester United,Norwich,H,4,0,1,0
2019,Wolves,Newcastle United,D,1,1,1,1
2019,Tottenham,Liverpool,A,0,1,0,1
2019,Bournemouth,Watford,A,0,3,0,1
2019,Aston Villa,Manchester City,A,1,6,0,4
2019,Watford,Tottenham,D,0,0,0,0
2019,Arsenal,Sheffield United,D,1,1,1,0
2019,Brighton,Aston Villa,D,1,1,1,0
2019,Manchester City,Crystal Palace,D,2,2,0,1
2019,Norwich,Bournemouth,H,1,0,1,0
2019,Southampton,Wolves,A,2,3,2,0
2019,West Ham,Everton,D,1,1,1,1
2019,Newcastle United,Chelsea,H,1,0,0,0
2019,Burnley,Leicester,H,2,1,0,1
2019,Liverpool,Manchester United,H,2,0,1,0
2019,Aston Villa,Watford,H,2,1,0,1
2019,Bournemouth,Brighton,H,3,1,2,0
2019,Crystal Palace,Southampton,A,0,2,0,1
2019,Everton,Newcastle United,D,2,2,1,0
2019,Sheffield United,Manchester City,A,0,1,0,0
2019,Chelsea,Arsenal,D,2,2,1,0
2019,Leicester,West Ham,H,4,1,2,0
2019,Tottenham,Norwich,H,2,1,1,0
2019,Manchester United,Burnley,A,0,2,0,1
2019,Wolves,Liverpool,A,1,2,0,1
2019,West Ham,Liverpool,A,0,2,0,1
2019,Leicester,Chelsea,D,2,2,0,0
2019,Bournemouth,Aston Villa,H,2,1,2,0
2019,Crystal Palace,Sheffield United,A,0,1,0,0
2019,Liverpool,Southampton,H,4,0,0,0
2019,Newcastle United,Norwich,D,0,0,0,0
2019,Watford,Everton,A,2,3,2,2
2019,West Ham,Brighton,D,3,3,2,0
2019,Manchester United,Wolves,D,0,0,0,0
2019,Burnley,Arsenal,D,0,0,0,0
2019,Tottenham,Manchester City,H,2,0,0,0
2019,Everton,Crystal Palace,H,3,1,1,0
2019,Brighton,Watford,D,1,1,0,1
2019,Sheffield United,Bournemouth,H,2,1,1,1
2019,Wolves,Leicester,D,0,0,0,0
2019,Southampton,Burnley,A,1,2,1,1
2019,Norwich,Liverpool,A,0,1,0,0
2019,Aston Villa,Tottenham,A,2,3,1,2
2019,Arsenal,Newcastle United,H,4,0,0,0
2019,Chelsea,Manchester United,A,0,2,0,1
2019,Manchester City,West Ham,H,2,0,1,0
