season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2017,Arsenal,Leicester,H,4,3,2,2
2017,Brighton,Manchester City,A,0,2,0,0
2017,Chelsea,Burnley,A,2,3,0,3
2017,Crystal Palace,Huddersfield,A,0,3,0,2
2017,Everton,Stoke,H,1,0,1,0
2017,Manchester United,West Ham,H,4,0,1,0
2017,Newcastle United,Tottenham,A,0,2,0,0
2017,Southampton,Swansea,D,0,0,0,0
2017,Watford,Liverpool,D,3,3,2,1
2017,West Bromwich Albion,Bournemouth,H,1,0,1,0
2017,Bournemouth,Watford,A,0,2,0,0
2017,Burnley,West Bromwich Albion,A,0,1,0,0
2017,Huddersfield,Newcastle United,H,1,0,0,0
2017,Leicester,Brighton,H,2,0,1,0
2017,Liverpool,Crystal Palace,H,1,0,0,0
2017,Manchester City,Everton,D,1,1,0,1
2017,Stoke,Arsenal,H,1,0,0,0
2017,Chelsea,Arsenal,D,0,0,0,0
2017,Crystal Palace,Southampton,A,0,1,0,1
2017,Huddersfield,Southampton,D,0,0,0,0
2017,Huddersfield,Leicester,D,1,1,0,0
2017,Liverpool,Arsenal,H,4,0,2,0
2017,Liverpool,Burnley,D,1,1,1,1
2017,Manchester United,Leicester,H,2,0,0,0
2017,Manchester United,Everton,H,4,0,1,0
2017,Newcastle United,West Ham,H,3,0,1,0
2017,Newcastle United,Stoke,H,2,1,1,0
2017,Tottenham,Burnley,D,1,1,0,0
2017,Tottenham,Swansea,D,0,0,0,0
2017,Watford,Brighton,D,0,0,0,0
2017,Watford,Manchester City,A,0,6,0,3
2017,West Bromwich Albion,Stoke,D,1,1,0,0
2017,Swansea,Manchester United,A,0,4,0,1
2017,West Bromwich Albion,West Ham,D,0,0,0,0
2017,Arsenal,Bournemouth,H,3,0,2,0
2017,Tottenham,Chelsea,A,1,2,0,1
2017,Arsenal,West Bromwich Albion,H,2,0,1,0
2017,Brighton,West Bromwich Albion,H,3,1,1,0
2017,Brighton,Newcastle United,H,1,0,0,0
2017,Burnley,Crystal Palace,H,1,0,1,0
2017,Bournemouth,Manchester City,A,1,2,1,1
2017,Burnley,Huddersfield,D,0,0,0,0
2017,Everton,Tottenham,A,0,3,0,2
2017,Chelsea,Everton,H,2,0,2,0
2017,Everton,Bournemouth,H,2,1,0,0
2017,Leicester,Chelsea,A,1,2,0,1
2017,Crystal Palace,Swansea,A,0,2,0,1
2017,Leicester,Liverpool,A,2,3,1,2
2017,Manchester City,Liverpool,H,5,0,2,0
2017,Everton,Arsenal,A,2,5,1,1
2017,Southampton,Watford,A,0,2,0,1
2017,Huddersfield,Manchester United,H,2,1,2,0
2017,Stoke,Manchester United,D,2,2,1,1
2017,Manchester City,Burnley,H,3,0,1,0
2017,Swansea,Newcastle United,A,0,1,0,0
2017,Newcastle United,Crystal Palace,H,1,0,0,0
2017,Southampton,West Bromwich Albion,H,1,0,0,0
2017,Stoke,Bournemouth,A,1,2,0,2
2017,Swansea,Leicester,A,1,2,0,1
2017,Tottenham,Liverpool,H,4,1,3,1
2017,West Ham,Brighton,A,0,3,0,2
2017,Arsenal,Swansea,H,2,1,0,1
2017,Manchester City,Crystal Palace,H,5,0,1,0
2017,West Ham,Huddersfield,H,2,0,0,0
2017,Bournemouth,Chelsea,A,0,1,0,0
2017,Southampton,Manchester United,A,0,1,0,1
2017,Bournemouth,Brighton,H,2,1,0,0
2017,Brighton,Southampton,D,1,1,0,1
2017,Stoke,Chelsea,A,0,4,0,2
2017,Burnley,Newcastle United,H,1,0,0,0
2017,Swansea,Watford,A,1,2,0,1
2017,Crystal Palace,West Ham,D,2,2,0,2
2017,West Ham,Tottenham,A,2,3,0,2
2017,Leicester,Everton,H,2,0,2,0
2017,Arsenal,Brighton,H,2,0,1,0
2017,Liverpool,Huddersfield,H,3,0,0,0
2017,Bournemouth,Leicester,D,0,0,0,0
2017,Manchester United,Tottenham,H,1,0,0,0
2017,Chelsea,Manchester City,A,0,1,0,0
2017,Watford,Stoke,A,0,1,0,1
2017,Everton,Burnley,A,0,1,0,1
2017,West Bromwich Albion,Manchester City,A,2,3,1,2
2017,Huddersfield,Tottenham,A,0,4,0,3
2017,Chelsea,Manchester United,H,1,0,0,0
2017,Manchester United,Crystal Palace,H,4,0,2,0
2017,Everton,Watford,H,3,2,0,0
2017,Newcastle United,Liverpool,D,1,1,1,1
2017,Huddersfield,West Bromwich Albion,H,1,0,1,0
2017,Stoke,Southampton,H,2,1,1,0
2017,West Bromwich Albion,Watford,D,2,2,2,1
