season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2014,Everton,Stoke,A,0,1,0,1
2014,Crystal Palace,Tottenham,H,2,1,0,0
2014,Burnley,Southampton,H,1,0,0,0
2014,West Ham,Queens Park Rangers,H,2,0,1,0
2014,Leicester,Tottenham,A,1,2,0,1
2014,Everton,Manchester City,D,1,1,0,0
2014,Chelsea,Hull,H,2,0,1,0
2014,Arsenal,Hull,D,2,2,1,1
2014,Liverpool,Stoke,H,1,0,0,0
2014,Manchester United,Newcastle United,H,3,1,2,0
2014,Leicester,Aston Villa,H,1,0,1,0
2014,Crystal Palace,Stoke,D,1,1,1,1
2014,Manchester United,Hull,H,3,0,2,0
2014,Sunderland,Hull,A,1,3,1,1
2014,Manchester United,Southampton,A,0,1,0,0
2014,Everton,Queens Park Rangers,H,3,1,2,0
2014,Queens Park Rangers,Leicester,H,3,2,2,1
2014,Swansea,Aston Villa,H,1,0,1,0
2014,Sunderland,Liverpool,A,0,1,0,1
2014,Leicester,Manchester City,A,0,1,0,1
2014,Southampton,Manchester City,A,0,3,0,0
2014,West Bromwich Albion,Manchester City,A,1,3,0,3
2014,Swansea,West Ham,D,1,1,0,1
2014,Manchester United,Liverpool,H,3,0,2,0
2014,Sunderland,Chelsea,D,0,0,0,0
2014,Aston Villa,Sunderland,D,0,0,0,0
2014,West Bromwich Albion,Hull,H,1,0,0,0
2014,Sunderland,West Ham,D,1,1,1,1
2014,Swansea,Crystal Palace,D,1,1,1,1
2014,Hull,Leicester,A,0,1,0,1
2014,Aston Villa,Liverpool,A,0,2,0,1
2014,Swansea,Tottenham,A,1,2,0,1
2014,Tottenham,Everton,H,2,1,2,1
2014,Liverpool,Swansea,H,4,1,1,0
2014,Burnley,Crystal Palace,A,2,3,2,1
2014,West Bromwich Albion,Aston Villa,H,1,0,0,0
2014,West Bromwich Albion,Arsenal,A,0,1,0,0
2014,Manchester City,Burnley,D,2,2,2,0
2014,Everton,West Bromwich Albion,D,0,0,0,0
2014,Aston Villa,Manchester United,D,1,1,1,0
2014,West Ham,Newcastle United,H,1,0,0,0
2014,Newcastle United,Everton,H,3,2,1,1
2014,Leicester,Stoke,A,0,1,0,0
2014,Hull,Swansea,A,0,1,0,1
2014,Arsenal,Southampton,H,1,0,0,0
2014,Queens Park Rangers,Crystal Palace,D,0,0,0,0
2014,Manchester City,Arsenal,A,0,2,0,1
2014,Liverpool,Arsenal,D,2,2,1,1
2014,Burnley,Newcastle United,D,1,1,1,0
2014,Southampton,Chelsea,D,1,1,1,1
2014,Newcastle United,Southampton,A,1,2,1,1
2014,Manchester City,Crystal Palace,H,3,0,0,0
2014,Leicester,Liverpool,A,1,3,1,1
2014,Stoke,West Bromwich Albion,H,2,0,0,0
2014,Queens Park Rangers,Manchester United,A,0,2,0,0
2014,Newcastle United,Sunderland,A,0,1,0,0
2014,Manchester United,Stoke,H,2,1,1,1
2014,Tottenham,Manchester United,D,0,0,0,0
2014,Swansea,Chelsea,A,0,5,0,4
2014,Queens Park Rangers,West Bromwich Albion,H,3,2,1,2
2014,Swansea,Queens Park Rangers,H,2,0,0,0
2014,West Ham,Arsenal,A,1,2,0,2
2014,Tottenham,Sunderland,H,2,1,1,1
2014,Southampton,Everton,H,3,0,1,0
2014,Crystal Palace,Aston Villa,A,0,1,0,1
2014,Aston Villa,Crystal Palace,D,0,0,0,0
2014,West Ham,Hull,H,3,0,0,0
2014,Stoke,Chelsea,A,0,2,0,1
2014,West Bromwich Albion,West Ham,A,1,2,1,2
2014,Hull,Everton,H,2,0,2,0
2014,Arsenal,Aston Villa,H,5,0,1,0
2014,Tottenham,Burnley,H,2,1,2,1
2014,Chelsea,Tottenham,H,3,0,2,0
2014,Liverpool,Leicester,D,2,2,2,0
2014,Chelsea,Manchester City,D,1,1,1,1
2014,West Ham,Leicester,H,2,0,1,0
2014,Everton,Hull,D,1,1,1,0
2014,Manchester City,Sunderland,H,3,2,0,0
2014,Crystal Palace,Everton,A,0,1,0,1
2014,Arsenal,Queens Park Rangers,H,2,1,1,0
2014,Sunderland,Manchester City,A,1,4,1,2
2014,Newcastle United,Burnley,D,3,3,2,1
2014,Burnley,Liverpool,A,0,1,0,0
2014,Aston Villa,Leicester,H,2,1,1,1
2014,Queens Park Rangers,Swansea,D,1,1,1,0
2014,Chelsea,West Ham,H,2,0,1,0
2014,Hull,West Bromwich Albion,D,0,0,0,0
2014,Southampton,Arsenal,H,2,0,1,0
2014,Liverpool,Sunderland,D,0,0,0,0
2014,Stoke,Manchester United,D,1,1,1,1
2014,Manchester City,Everton,H,1,0,1,0
2014,Tottenham,Chelsea,H,5,3,3,1
2014,Newcastle United,Chelsea,H,2,1,0,0
2014,West Ham,West Bromwich Albion,D,1,1,1,1
2014,Queens Park Rangers,Burnley,H,2,0,0,0
2014,Arsenal,Stoke,H,3,0,2,0
2014,Southampton,Manchester United,A,1,2,1,1
2014,Stoke,Arsenal,H,3,2,3,0
2014,Tottenham,Crystal Palace,D,0,0,0,0
2014,Stoke,Sunderland,D,1,1,1,1
2014,Crystal Palace,West Bromwich Albion,A,0,2,0,1
2014,Aston Villa,West Ham,H,1,0,1,0
2014,West Bromwich Albion,Liverpool,D,0,0,0,0
2014,Manchester United,Tottenham,H,3,0,3,0
2014,Manchester United,Manchester City,H,4,2,2,1
2014,Tottenham,Leicester,H,4,3,2,1
